Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1789473125,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1789473126,10,,Aggregated,0.000000,0.000000,3,4,4,6,12,38,87,140,440,440,440,943,0,3,9.62299118072786,1.418833970092237,443.3932499960065,0.0
1789473127,20,,Aggregated,0.000000,0.000000,6,7,8,11,19,57,120,240,860,950,950,1817,0,6,15.376090871049199,1.418833970092237,946.2111670291051,0.0
1789473128,20,,Aggregated,246.000000,0.000000,7,8,9,11,22,60,130,250,870,1100,1100,2662,0,7,17.480854101490948,1.418833970092237,1070.0935409404337,0.0
1789473129,20,,Aggregated,591.000000,0.000000,7,8,10,11,24,65,140,260,950,1400,1400,3530,0,7,19.112640031496007,1.418833970092237,1372.4023750983179,0.0
1789473130,20,,Aggregated,673.666667,0.000000,7,8,9,11,22,63,140,250,960,1400,1400,4549,0,7,18.98536134949255,1.418833970092237,1372.4023750983179,0.0
1789473131,20,,Aggregated,725.250000,0.000000,7,8,9,10,18,58,140,260,1100,1600,1600,5642,0,7,18.719369118110645,1.418833970092237,1574.7595840366557,0.0
1789473132,20,,Aggregated,753.600000,0.000000,7,8,9,10,17,57,140,340,1100,1600,1600,6665,0,7,18.88163450760215,1.418833970092237,1574.7595840366557,0.0
1789473133,20,,Aggregated,806.166667,0.000000,7,8,8,9,17,48,140,340,1100,1600,1600,7792,0,7,18.62222657180262,1.418833970092237,1574.7595840366557,0.0
1789473134,20,,Aggregated,843.857143,0.000000,7,7,8,9,16,45,140,340,1100,2600,2600,8925,0,7,18.470110329108035,1.418833970092237,2591.9054589467123,0.0
1789473135,20,,Aggregated,870.375000,0.000000,6,7,8,9,16,44,140,340,1100,1600,2600,10001,0,6,18.615946373183817,1.418833970092237,2591.9054589467123,0.0
1789473136,20,,Aggregated,899.666667,0.000000,6,7,8,9,16,45,140,340,1100,2000,2600,11069,0,6,18.631267881746425,1.418833970092237,2591.9054589467123,0.0
1789473137,20,,Aggregated,923.200000,0.000000,6,7,8,9,15,43,140,340,1100,2000,2600,12183,0,6,18.309197304748945,1.418833970092237,2591.9054589467123,0.0
1789473138,20,,Aggregated,999.200000,0.000000,6,7,8,9,15,43,140,340,1100,2500,2600,13349,0,6,18.07970085205505,1.418833970092237,2591.9054589467123,0.0
1789473139,20,,Aggregated,1018.200000,0.000000,6,7,8,9,14,43,140,340,1200,2600,3300,14492,0,6,18.226583360053567,1.418833970092237,3284.3162920325994,0.0
1789473140,20,,Aggregated,1046.900000,0.000000,6,7,8,9,14,43,140,340,1200,2600,3300,15393,0,6,18.335900210458338,1.418833970092237,3284.3162920325994,0.0
1789473141,20,,Aggregated,1075.400000,0.000000,6,7,8,9,14,43,140,340,1300,2600,3300,16448,0,6,18.57594672731144,1.418833970092237,3284.3162920325994,0.0
1789473142,20,,Aggregated,1101.100000,0.000000,6,7,8,9,14,42,140,340,1300,2600,3300,17578,0,6,18.395478119043702,1.418833970092237,3284.3162920325994,0.0
1789473143,20,,Aggregated,1084.800000,0.000000,6,7,8,9,14,43,140,350,1300,2600,3300,18575,0,6,18.64254187134472,1.418833970092237,3284.3162920325994,0.0
1789473144,20,,Aggregated,1083.600000,0.000000,6,7,8,9,14,43,140,340,1300,2600,3300,19610,0,6,18.69496121741513,1.418833970092237,3284.3162920325994,0.0
1789473145,1,,Aggregated,1088.900000,0.000000,6,7,8,9,14,43,140,350,1300,2500,3300,20583,0,6,18.80661291825684,1.418833970092237,3284.3162920325994,0.0
