Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /links/[hot],25776,0,5,15.027367928090687,1.0442089987918735,3279.8063749214634,0.0,1288.5142679403755,0.0,5,5,6,6,7,14,86,250,1500,3000,3300
,Aggregated,25776,0,5,15.027367928090687,1.0442089987918735,3279.8063749214634,0.0,1288.5142679403755,0.0,5,5,6,6,7,14,86,250,1500,3000,3300
