Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /links/[hot],20583,0,6,18.80661291825684,1.418833970092237,3284.3162920325994,0.0,1030.2771800813573,0.0,6,7,8,9,14,43,140,350,1300,2500,3300
,Aggregated,20583,0,6,18.80661291825684,1.418833970092237,3284.3162920325994,0.0,1030.2771800813573,0.0,6,7,8,9,14,43,140,350,1300,2500,3300
