Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,POST /links/shorten,22202,0,6,16.53101521724072,1.08916696626693,2377.4022919824347,241.0,1168.1959622006145,0.0,6,7,7,8,14,39,120,240,1200,2000,2400
,Aggregated,22202,0,6,16.53101521724072,1.08916696626693,2377.4022919824347,241.0,1168.1959622006145,0.0,6,7,7,8,14,39,120,240,1200,2000,2400
