Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /links/[hot],26246,0,5,14.770895463749746,1.107916934415698,3486.0602079425007,0.0,1312.762093819455,0.0,5,5,5,6,7,10,65,200,1500,3400,3500
,Aggregated,26246,0,5,14.770895463749746,1.107916934415698,3486.0602079425007,0.0,1312.762093819455,0.0,5,5,5,6,7,10,65,200,1500,3400,3500
