Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /links/[hot],25588,0,5,15.037998243099691,1.0624169372022152,2813.131249975413,0.0,1280.568655555559,0.0,5,5,6,6,7,14,90,240,1600,2500,2800
,Aggregated,25588,0,5,15.037998243099691,1.0624169372022152,2813.131249975413,0.0,1280.568655555559,0.0,5,5,6,6,7,14,90,240,1600,2500,2800
