Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /links/[hot],21051,0,6,18.417643244719986,1.2377090752124786,3691.86216709204,0.0,1053.2903511879097,0.0,6,7,7,8,12,40,140,340,1400,2200,3700
,Aggregated,21051,0,6,18.417643244719986,1.2377090752124786,3691.86216709204,0.0,1053.2903511879097,0.0,6,7,7,8,12,40,140,340,1400,2200,3700
